row,total_meetings,lead_score,customer_sentiment,buying_intent,relationship_strength,budget_status,decision_maker_involvement,customer_urgency,main_objections,product_interest_level,meeting_outcome,customer_requirements,risk_factors,competitor_mention,engagement_score,implementation_readiness,upsell_opportunity,deal_score,predicted_deal_score,priority_band,recommended_action,absolute_error,error
11,4,5.4,Negative,Low,3,Under Review,Indirect,Low,Missing Features; Price Too High,Low,Rescheduled,Enterprise-grade Security,No Risk Identified,Yes,39.0,Fully Ready,Yes,32,36.25,LOW,Qualify further before investing sales capacity.,4.25,4.25
12,6,76.1,Neutral,Low,4,Under Review,Yes,Low,Price Too High,Very High,Verbal Agreement,Customized Integration,No Risk Identified,No,89.8,Ready,Yes,50,58.66,MEDIUM,"Nurture - resolve open objections, confirm budget.",8.66,8.659999999999997
13,9,85.1,Positive,Low,10,Under Review,Yes,Medium,No Urgent Business Need,Low,Verbal Agreement,Multi-department Rollout,No Risk Identified,Yes,85.6,Not Ready,No,54,48.39,LOW,Qualify further before investing sales capacity.,5.61,-5.609999999999999
14,7,90.5,Positive,Medium,10,Fully Approved,Yes,High,Competitor Preference; Unfavorable Contract Terms,High,Verbal Agreement,Compliance-driven Requirements,No Risk Identified,Yes,77.2,Ready,No,86,81.95,HIGH,Prioritise - push for close this cycle.,4.05,-4.049999999999997
15,8,15.6,Negative,Low,3,Not Allocated,Indirect,Low,No Objections,Medium,Proposal Sent,Basic Feature Set,Budget Constraints,No,71.7,Fully Ready,No,42,43.46,LOW,Qualify further before investing sales capacity.,1.46,1.4600000000000009
16,5,68.8,Neutral,Low,6,Under Review,No,Low,Lack of Internal Buy-in; Price Too High,Low,No Show / Cancelled,Standard Package,No Risk Identified,Yes,68.8,Fully Ready,No,32,39.24,LOW,Qualify further before investing sales capacity.,7.24,7.240000000000002
17,6,36.4,Negative,Medium,3,Partially Approved,No,Medium,Price Too High,High,No Show / Cancelled,Multi-department Rollout,No Risk Identified,No,35.5,Ready,No,39,41.93,LOW,Qualify further before investing sales capacity.,2.93,2.9299999999999997
18,6,9.6,Negative,Low,2,Fully Approved,Indirect,Medium,Unfavorable Contract Terms,Low,No Show / Cancelled,Basic Feature Set,No Risk Identified,No,8.6,Fully Ready,No,41,47.87,LOW,Qualify further before investing sales capacity.,6.87,6.869999999999997
19,7,5.7,Neutral,Medium,3,Under Review,No,Medium,Price Too High,Medium,Rescheduled,Standard Package,No Risk Identified,No,63.9,Ready,No,49,47.13,LOW,Qualify further before investing sales capacity.,1.87,-1.8699999999999974
20,7,43.8,Negative,High,5,Under Review,Indirect,High,No Objections,Very High,Verbal Agreement,Basic Feature Set,No Risk Identified,Yes,67.8,Ready,Yes,59,61.32,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.32,2.3200000000000003
21,6,48.0,Positive,Low,9,Under Review,Yes,Medium,No Urgent Business Need,High,Proposal Sent,Scalable Infrastructure,Budget Constraints,No,39.3,Fully Ready,No,62,56.17,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.83,-5.829999999999998
22,7,82.5,Neutral,Low,8,Partially Approved,Indirect,Low,Long Implementation Time; Price Too High,Low,Proposal Sent,Multi-department Rollout,No Risk Identified,Yes,86.2,Not Ready,No,46,42.3,LOW,Qualify further before investing sales capacity.,3.7,-3.700000000000003
23,8,41.2,Negative,Medium,3,Not Allocated,No,Medium,Missing Features,Medium,Rescheduled,Multi-department Rollout,Economic Uncertainty,No,63.3,Fully Ready,No,39,35.09,LOW,Qualify further before investing sales capacity.,3.91,-3.9099999999999966
24,3,39.0,Positive,Medium,4,Partially Approved,Indirect,Critical,No Objections,High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,29.0,Ready,No,57,63.43,MEDIUM,"Nurture - resolve open objections, confirm budget.",6.43,6.43
25,5,71.3,Positive,Low,5,Under Review,Yes,Low,No Objections,High,Rescheduled,Scalable Infrastructure,Competitor Pressure,Yes,45.8,Not Ready,No,35,44.21,LOW,Qualify further before investing sales capacity.,9.21,9.21
26,3,89.6,Neutral,High,5,Partially Approved,Yes,Medium,No Urgent Business Need,Very High,Proposal Sent,Customized Integration,Budget Constraints,No,12.5,Fully Ready,Yes,70,71.4,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.4,1.4000000000000057
27,3,69.4,Neutral,High,7,Partially Approved,Indirect,Critical,No Objections,Very High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,59.7,Not Ready,Yes,75,67.47,MEDIUM,"Nurture - resolve open objections, confirm budget.",7.53,-7.530000000000001
28,8,78.7,Positive,Low,8,Not Allocated,Yes,Low,No Urgent Business Need; Price Too High; Security / Compliance Concerns,Medium,Proposal Sent,Compliance-driven Requirements,Economic Uncertainty,No,8.0,Fully Ready,Yes,47,44.47,LOW,Qualify further before investing sales capacity.,2.53,-2.530000000000001
29,5,25.2,Neutral,High,4,Not Allocated,No,High,No Objections,High,Discussed Requirements,Scalable Infrastructure,Economic Uncertainty,No,42.6,Ready,Yes,36,36.13,LOW,Qualify further before investing sales capacity.,0.13,0.13000000000000256
30,4,70.7,Negative,Medium,5,Fully Approved,Indirect,Low,No Objections,High,Discussed Requirements,Scalable Infrastructure,No Risk Identified,No,30.0,Partially Ready,No,48,58.8,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.8,10.799999999999997
31,7,65.2,Neutral,Low,6,Fully Approved,Yes,Low,Security / Compliance Concerns,Very High,Discussed Requirements,Customized Integration,No Risk Identified,No,53.9,Ready,Yes,60,62.65,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.65,2.6499999999999986
32,8,22.7,Negative,Low,6,Under Review,No,Medium,No Objections,Medium,Discussed Requirements,Basic Feature Set,Internal Politics,No,37.1,Not Ready,No,41,35.42,LOW,Qualify further before investing sales capacity.,5.58,-5.579999999999998
33,10,97.2,Positive,Medium,8,Partially Approved,Yes,Medium,No Urgent Business Need,High,Verbal Agreement,Basic Feature Set,No Risk Identified,No,81.4,Ready,No,78,77.15,HIGH,Prioritise - push for close this cycle.,0.85,-0.8499999999999943
34,5,28.8,Neutral,Medium,2,Partially Approved,No,Medium,No Urgent Business Need,Medium,Discussed Requirements,Compliance-driven Requirements,No Risk Identified,Yes,5.1,Ready,Yes,38,41.13,LOW,Qualify further before investing sales capacity.,3.13,3.1300000000000026
35,5,52.1,Neutral,Low,6,Not Allocated,No,Critical,Price Too High,Medium,No Show / Cancelled,Standard Package,Stakeholder Turnover,No,33.8,Partially Ready,No,27,28.03,LOW,Qualify further before investing sales capacity.,1.03,1.0300000000000011
36,5,46.4,Negative,Medium,2,Not Allocated,No,Low,Budget Not Allocated,High,Discussed Requirements,Scalable Infrastructure,Economic Uncertainty,No,10.9,Ready,No,39,37.78,LOW,Qualify further before investing sales capacity.,1.22,-1.2199999999999989
37,5,30.7,Neutral,Medium,6,Not Allocated,Yes,Medium,Competitor Preference; Price Too High,Medium,No Show / Cancelled,Basic Feature Set,Economic Uncertainty,Yes,4.4,Not Ready,No,29,28.82,LOW,Qualify further before investing sales capacity.,0.18,-0.17999999999999972
38,6,10.8,Negative,Medium,3,Not Allocated,No,Critical,Competitor Preference; Lack of Internal Buy-in; Price Too High,Low,No Show / Cancelled,Customized Integration,Stakeholder Turnover,Yes,39.7,Fully Ready,Yes,19,20.09,VERY LOW,Deprioritise or disqualify.,1.09,1.0899999999999999
39,5,65.9,Negative,Medium,1,Fully Approved,Indirect,Low,Long Implementation Time,Medium,No Show / Cancelled,API / Technical Integration,Economic Uncertainty,No,12.2,Partially Ready,No,34,43.57,LOW,Qualify further before investing sales capacity.,9.57,9.57
40,4,20.4,Positive,Low,4,Fully Approved,Yes,Medium,Long Implementation Time,Low,Discussed Requirements,Multi-department Rollout,No Risk Identified,Yes,26.7,Not Ready,No,40,42.04,LOW,Qualify further before investing sales capacity.,2.04,2.039999999999999
41,6,35.2,Positive,Low,8,Under Review,Yes,High,Price Too High,Medium,Proposal Sent,Enterprise-grade Security,Technical Concerns,No,44.5,Not Ready,No,45,39.63,LOW,Qualify further before investing sales capacity.,5.37,-5.369999999999997
42,6,20.1,Positive,Medium,8,Under Review,Yes,Low,Missing Features,Low,Discussed Requirements,Compliance-driven Requirements,Technical Concerns,No,32.2,Not Ready,Yes,49,41.35,LOW,Qualify further before investing sales capacity.,7.65,-7.649999999999999
43,6,63.6,Positive,High,8,Partially Approved,Yes,Critical,Unfavorable Contract Terms,Medium,Discussed Requirements,Scalable Infrastructure,No Risk Identified,No,62.3,Ready,No,71,74.05,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.05,3.049999999999997
44,6,89.2,Positive,Medium,4,Under Review,Indirect,High,Budget Not Allocated; Competitor Preference,Very High,Discussed Requirements,API / Technical Integration,Economic Uncertainty,Yes,16.4,Not Ready,No,46,38.84,LOW,Qualify further before investing sales capacity.,7.16,-7.159999999999997
45,5,15.3,Neutral,Low,5,Under Review,Indirect,Medium,Long Implementation Time; No Urgent Business Need; Price Too High,Medium,Proposal Sent,Compliance-driven Requirements,Stakeholder Turnover,No,19.3,Not Ready,Yes,29,29.8,LOW,Qualify further before investing sales capacity.,0.8,0.8000000000000007
46,14,47.6,Neutral,High,3,Not Allocated,Indirect,Medium,Budget Not Allocated; Price Too High,Medium,Proposal Sent,Standard Package,Budget Constraints,No,98.2,Ready,No,41,38.0,LOW,Qualify further before investing sales capacity.,3.0,-3.0
47,9,24.9,Positive,High,6,Partially Approved,Yes,Medium,Security / Compliance Concerns; Unfavorable Contract Terms,High,Verbal Agreement,Basic Feature Set,No Risk Identified,Yes,83.0,Ready,Yes,68,73.55,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.55,5.549999999999997
48,5,61.7,Neutral,Low,4,Under Review,No,High,Price Too High,Low,No Show / Cancelled,Standard Package,No Risk Identified,No,3.5,Fully Ready,No,34,41.04,LOW,Qualify further before investing sales capacity.,7.04,7.039999999999999
49,5,35.8,Neutral,Medium,4,Partially Approved,No,Medium,No Objections,High,No Show / Cancelled,Standard Package,Economic Uncertainty,No,40.0,Ready,No,43,44.77,LOW,Qualify further before investing sales capacity.,1.77,1.7700000000000031
50,4,27.5,Positive,Low,8,Under Review,Indirect,Low,Price Too High,Very High,Verbal Agreement,Scalable Infrastructure,No Risk Identified,No,86.9,Ready,No,59,57.85,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.15,-1.1499999999999986
51,6,88.6,Positive,Medium,9,Not Allocated,Yes,Medium,Price Too High,High,Proposal Sent,Multi-department Rollout,No Risk Identified,No,41.3,Not Ready,Yes,45,52.31,MEDIUM,"Nurture - resolve open objections, confirm budget.",7.31,7.310000000000002
52,7,42.5,Neutral,High,6,Not Allocated,Indirect,High,Price Too High,High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,80.1,Partially Ready,No,50,46.49,LOW,Qualify further before investing sales capacity.,3.51,-3.509999999999998
53,4,80.0,Positive,High,2,Partially Approved,Indirect,High,No Objections,Very High,Verbal Agreement,Scalable Infrastructure,Budget Constraints,No,72.6,Ready,Yes,69,71.07,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.07,2.069999999999993
54,5,46.7,Neutral,Medium,8,Under Review,No,Critical,Budget Not Allocated; Competitor Preference; Missing Features; Price Too High,Medium,Discussed Requirements,Basic Feature Set,Budget Constraints,Yes,4.1,Ready,No,35,33.73,LOW,Qualify further before investing sales capacity.,1.27,-1.2700000000000031
55,3,69.7,Positive,Low,4,Under Review,Indirect,Low,Budget Not Allocated; No Urgent Business Need; Poor Past Experience / Support,Very High,Discussed Requirements,Standard Package,Internal Politics,No,33.5,Partially Ready,No,39,43.19,LOW,Qualify further before investing sales capacity.,4.19,4.189999999999998
56,5,76.4,Neutral,High,3,Partially Approved,Indirect,Medium,Lack of Internal Buy-in; Security / Compliance Concerns,Very High,Discussed Requirements,API / Technical Integration,No Risk Identified,No,21.9,Fully Ready,No,58,59.49,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.49,1.490000000000002
57,10,49.6,Neutral,High,7,Under Review,Indirect,Critical,Budget Not Allocated; Price Too High,High,Proposal Sent,API / Technical Integration,Internal Politics,Yes,25.4,Partially Ready,Yes,49,35.6,LOW,Qualify further before investing sales capacity.,13.4,-13.399999999999999
58,7,37.7,Positive,High,3,Not Allocated,Yes,Critical,Missing Features,Low,Rescheduled,Scalable Infrastructure,Economic Uncertainty,No,73.3,Not Ready,Yes,27,40.08,LOW,Qualify further before investing sales capacity.,13.08,13.079999999999998
59,9,65.6,Negative,High,5,Partially Approved,Yes,Critical,No Objections,Very High,Discussed Requirements,API / Technical Integration,No Risk Identified,Yes,90.4,Fully Ready,No,80,69.23,MEDIUM,"Nurture - resolve open objections, confirm budget.",10.77,-10.769999999999996
60,5,3.2,Neutral,Low,5,Not Allocated,Indirect,Medium,Long Implementation Time; No Urgent Business Need; Price Too High,Low,No Show / Cancelled,Customized Integration,No Risk Identified,No,50.0,Not Ready,No,22,27.81,LOW,Qualify further before investing sales capacity.,5.81,5.809999999999999
61,6,5.1,Neutral,Medium,7,Not Allocated,Indirect,Low,Missing Features; No Urgent Business Need; Security / Compliance Concerns,Low,No Show / Cancelled,Enterprise-grade Security,Economic Uncertainty,No,7.0,Fully Ready,No,29,34.96,LOW,Qualify further before investing sales capacity.,5.96,5.960000000000001
62,7,22.4,Positive,Medium,9,Not Allocated,Indirect,Critical,No Objections,Very High,Proposal Sent,Customized Integration,Economic Uncertainty,No,48.7,Fully Ready,Yes,45,45.33,LOW,Qualify further before investing sales capacity.,0.33,0.3299999999999983
63,5,86.7,Positive,Low,3,Fully Approved,Yes,Low,No Objections,High,Discussed Requirements,Multi-department Rollout,Economic Uncertainty,No,19.9,Fully Ready,Yes,55,60.36,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.36,5.359999999999999
64,9,86.4,Neutral,Medium,5,Under Review,Indirect,High,Competitor Preference; Lack of Internal Buy-in,Low,Discussed Requirements,Enterprise-grade Security,Internal Politics,Yes,90.1,Ready,Yes,33,37.46,LOW,Qualify further before investing sales capacity.,4.46,4.460000000000001
65,8,28.4,Negative,High,5,Under Review,No,Low,Lack of Internal Buy-in,Medium,Discussed Requirements,API / Technical Integration,Economic Uncertainty,No,71.0,Not Ready,No,40,37.11,LOW,Qualify further before investing sales capacity.,2.89,-2.8900000000000006
66,7,18.5,Negative,High,8,Not Allocated,No,Critical,Budget Not Allocated; Missing Features; Unfavorable Contract Terms,Medium,Rescheduled,Basic Feature Set,No Risk Identified,No,80.7,Fully Ready,No,28,41.66,LOW,Qualify further before investing sales capacity.,13.66,13.659999999999997
67,4,50.5,Positive,Medium,9,Not Allocated,Yes,High,Unfavorable Contract Terms,Very High,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,16.1,Partially Ready,No,48,47.21,LOW,Qualify further before investing sales capacity.,0.79,-0.7899999999999991
68,10,91.2,Negative,Medium,3,Partially Approved,No,Medium,Competitor Preference; Lack of Internal Buy-in,Low,Rescheduled,Multi-department Rollout,Competitor Pressure,Yes,23.5,Ready,No,23,28.06,LOW,Qualify further before investing sales capacity.,5.06,5.059999999999999
69,6,51.5,Negative,High,3,Fully Approved,Indirect,High,Lack of Internal Buy-in,Low,Discussed Requirements,API / Technical Integration,Economic Uncertainty,Yes,15.1,Fully Ready,No,56,53.16,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.84,-2.8400000000000034
70,5,47.0,Negative,Medium,8,Not Allocated,No,Medium,Long Implementation Time; Price Too High,High,Proposal Sent,Scalable Infrastructure,Economic Uncertainty,No,78.1,Partially Ready,Yes,35,35.87,LOW,Qualify further before investing sales capacity.,0.87,0.8699999999999974
71,4,94.4,Negative,Low,3,Under Review,Indirect,Medium,Price Too High,High,Rescheduled,API / Technical Integration,No Risk Identified,No,41.6,Partially Ready,Yes,57,46.89,LOW,Qualify further before investing sales capacity.,10.11,-10.11
72,2,16.9,Negative,Low,2,Under Review,No,High,Poor Past Experience / Support; Price Too High,Very High,Discussed Requirements,Multi-department Rollout,Stakeholder Turnover,No,32.9,Fully Ready,No,39,32.6,LOW,Qualify further before investing sales capacity.,6.4,-6.399999999999999
73,5,60.1,Positive,Medium,9,Fully Approved,Yes,Medium,No Urgent Business Need,Medium,Verbal Agreement,Customized Integration,No Risk Identified,No,58.1,Partially Ready,Yes,79,76.39,HIGH,Prioritise - push for close this cycle.,2.61,-2.6099999999999994
74,5,11.2,Neutral,High,1,Under Review,Indirect,High,Poor Past Experience / Support; Price Too High,Low,Proposal Sent,Multi-department Rollout,Technical Concerns,No,35.8,Ready,No,32,36.54,LOW,Qualify further before investing sales capacity.,4.54,4.539999999999999
75,7,18.8,Positive,Low,9,Not Allocated,Indirect,Medium,Budget Not Allocated; Long Implementation Time; Price Too High,Medium,Proposal Sent,Multi-department Rollout,Economic Uncertainty,No,9.0,Not Ready,Yes,33,29.98,LOW,Qualify further before investing sales capacity.,3.02,-3.0199999999999996
76,4,32.6,Negative,High,3,Under Review,No,Medium,Competitor Preference; Lack of Internal Buy-in; Missing Features,Medium,No Show / Cancelled,API / Technical Integration,No Risk Identified,Yes,6.4,Not Ready,No,21,29.0,LOW,Qualify further before investing sales capacity.,8.0,8.0
77,5,89.9,Negative,Low,2,Partially Approved,Indirect,Critical,No Objections,Low,No Show / Cancelled,Standard Package,Economic Uncertainty,Yes,6.0,Ready,No,47,40.97,LOW,Qualify further before investing sales capacity.,6.03,-6.030000000000001
78,9,40.6,Positive,High,6,Partially Approved,Yes,High,Unfavorable Contract Terms,High,Verbal Agreement,Standard Package,Economic Uncertainty,No,17.7,Ready,No,70,72.97,MEDIUM,"Nurture - resolve open objections, confirm budget.",2.97,2.969999999999999
79,9,71.0,Negative,High,3,Fully Approved,Indirect,Critical,Price Too High,Medium,Rescheduled,Standard Package,No Risk Identified,Yes,49.7,Partially Ready,No,54,54.19,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.19,0.18999999999999773
80,4,17.6,Negative,Low,6,Fully Approved,No,High,No Objections,High,Rescheduled,API / Technical Integration,No Risk Identified,Yes,48.4,Not Ready,No,49,40.16,LOW,Qualify further before investing sales capacity.,8.84,-8.840000000000003
81,7,74.8,Positive,Medium,4,Fully Approved,No,High,No Objections,High,Rescheduled,API / Technical Integration,No Risk Identified,No,87.5,Ready,No,65,59.49,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.51,-5.509999999999998
82,5,13.7,Neutral,Medium,7,Partially Approved,Indirect,High,Long Implementation Time,Low,No Show / Cancelled,Customized Integration,Budget Constraints,No,19.0,Not Ready,Yes,29,37.14,LOW,Qualify further before investing sales capacity.,8.14,8.14
83,6,87.6,Positive,High,9,Fully Approved,Yes,Critical,Unfavorable Contract Terms,Very High,Proposal Sent,Multi-department Rollout,No Risk Identified,No,65.5,Not Ready,Yes,91,87.8,HIGH,Prioritise - push for close this cycle.,3.2,-3.200000000000003
84,6,4.1,Neutral,Medium,6,Not Allocated,Indirect,Critical,No Objections,Low,No Show / Cancelled,Basic Feature Set,Internal Politics,No,83.6,Not Ready,No,36,31.38,LOW,Qualify further before investing sales capacity.,4.62,-4.620000000000001
85,15,57.2,Positive,High,9,Under Review,Yes,High,Competitor Preference; Price Too High,High,Verbal Agreement,Scalable Infrastructure,Technical Concerns,Yes,93.7,Ready,Yes,63,59.12,MEDIUM,"Nurture - resolve open objections, confirm budget.",3.88,-3.8800000000000026
86,6,95.6,Neutral,Medium,7,Fully Approved,Yes,High,Unfavorable Contract Terms,Very High,Verbal Agreement,Standard Package,No Risk Identified,Yes,42.9,Ready,No,85,80.37,HIGH,Prioritise - push for close this cycle.,4.63,-4.6299999999999955
87,5,8.3,Neutral,Low,4,Fully Approved,Indirect,Medium,No Urgent Business Need,Medium,Rescheduled,API / Technical Integration,No Risk Identified,No,11.2,Partially Ready,Yes,43,47.92,LOW,Qualify further before investing sales capacity.,4.92,4.920000000000002
88,4,6.0,Negative,Medium,3,Partially Approved,No,Low,Price Too High,High,No Show / Cancelled,API / Technical Integration,Technical Concerns,Yes,2.8,Ready,Yes,23,35.0,LOW,Qualify further before investing sales capacity.,12.0,12.0
89,4,30.0,Neutral,Low,5,Fully Approved,Indirect,Critical,Missing Features,Low,No Show / Cancelled,Multi-department Rollout,No Risk Identified,No,22.2,Not Ready,No,45,39.71,LOW,Qualify further before investing sales capacity.,5.29,-5.289999999999999
90,5,64.9,Positive,Medium,7,Not Allocated,Indirect,Low,Budget Not Allocated; Long Implementation Time; Price Too High,Medium,Discussed Requirements,Enterprise-grade Security,Economic Uncertainty,Yes,66.5,Partially Ready,Yes,34,33.88,LOW,Qualify further before investing sales capacity.,0.12,-0.11999999999999744
91,7,57.9,Positive,High,10,Partially Approved,Yes,High,No Objections,Medium,Verbal Agreement,Basic Feature Set,No Risk Identified,No,95.9,Partially Ready,Yes,92,84.68,HIGH,Prioritise - push for close this cycle.,7.32,-7.319999999999993
92,7,63.0,Neutral,High,5,Not Allocated,Indirect,Medium,Lack of Internal Buy-in; Price Too High,Medium,Proposal Sent,Standard Package,Stakeholder Turnover,No,76.9,Ready,No,40,42.76,LOW,Qualify further before investing sales capacity.,2.76,2.759999999999998
93,8,16.6,Negative,Low,1,Partially Approved,No,Low,No Objections,Low,Discussed Requirements,Customized Integration,No Risk Identified,No,95.0,Ready,No,33,43.4,LOW,Qualify further before investing sales capacity.,10.4,10.399999999999999
94,3,58.5,Negative,High,2,Under Review,No,Medium,No Objections,High,Proposal Sent,Standard Package,Economic Uncertainty,No,8.3,Partially Ready,No,48,42.28,LOW,Qualify further before investing sales capacity.,5.72,-5.719999999999999
95,5,64.3,Negative,Medium,1,Partially Approved,No,Critical,No Objections,High,No Show / Cancelled,Basic Feature Set,Internal Politics,No,25.1,Partially Ready,No,49,39.92,LOW,Qualify further before investing sales capacity.,9.08,-9.079999999999998
96,5,70.4,Positive,Medium,4,Under Review,No,Medium,Competitor Preference; Long Implementation Time; No Urgent Business Need,High,Proposal Sent,Scalable Infrastructure,No Risk Identified,Yes,31.6,Not Ready,No,24,39.19,LOW,Qualify further before investing sales capacity.,15.19,15.189999999999998
97,8,44.4,Neutral,High,8,Under Review,No,High,Budget Not Allocated; Lack of Internal Buy-in,High,Proposal Sent,Basic Feature Set,Internal Politics,No,75.9,Fully Ready,No,48,48.69,LOW,Qualify further before investing sales capacity.,0.69,0.6899999999999977
98,11,59.8,Neutral,High,7,Fully Approved,Yes,Medium,Poor Past Experience / Support,Very High,Proposal Sent,Scalable Infrastructure,No Risk Identified,No,59.4,Not Ready,Yes,74,76.99,HIGH,Prioritise - push for close this cycle.,2.99,2.989999999999995
99,4,17.2,Positive,Low,7,Partially Approved,Indirect,Low,Poor Past Experience / Support; Price Too High,High,Proposal Sent,Basic Feature Set,Budget Constraints,No,35.1,Fully Ready,No,56,51.9,MEDIUM,"Nurture - resolve open objections, confirm budget.",4.1,-4.100000000000001
100,6,40.9,Neutral,High,9,Under Review,Yes,Critical,Budget Not Allocated,Very High,Rescheduled,Basic Feature Set,No Risk Identified,No,92.0,Fully Ready,Yes,62,67.03,MEDIUM,"Nurture - resolve open objections, confirm budget.",5.03,5.030000000000001
101,5,48.3,Positive,Medium,10,Not Allocated,Yes,High,No Objections,Medium,Proposal Sent,Standard Package,No Risk Identified,Yes,66.8,Fully Ready,No,54,52.62,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.38,-1.3800000000000026
102,2,98.5,Neutral,High,2,Partially Approved,Indirect,Low,No Urgent Business Need,Very High,Discussed Requirements,Standard Package,Budget Constraints,No,5.4,Partially Ready,No,40,47.67,LOW,Qualify further before investing sales capacity.,7.67,7.670000000000002
103,5,33.9,Positive,High,9,Fully Approved,Yes,High,No Objections,Very High,Discussed Requirements,Basic Feature Set,No Risk Identified,No,44.2,Fully Ready,No,79,78.85,HIGH,Prioritise - push for close this cycle.,0.15,-0.15000000000000568
104,3,79.6,Neutral,Low,7,Under Review,Indirect,Low,Long Implementation Time; Unfavorable Contract Terms,Medium,Proposal Sent,API / Technical Integration,Technical Concerns,Yes,51.6,Not Ready,Yes,40,31.49,LOW,Qualify further before investing sales capacity.,8.51,-8.510000000000002
105,6,77.4,Negative,Medium,6,Under Review,Indirect,Low,Security / Compliance Concerns,High,Discussed Requirements,Enterprise-grade Security,No Risk Identified,No,4.7,Not Ready,No,35,42.47,LOW,Qualify further before investing sales capacity.,7.47,7.469999999999999
106,8,66.2,Neutral,Medium,1,Fully Approved,Yes,Low,No Urgent Business Need,High,Discussed Requirements,API / Technical Integration,No Risk Identified,No,46.5,Fully Ready,Yes,68,68.89,MEDIUM,"Nurture - resolve open objections, confirm budget.",0.89,0.8900000000000006
107,10,63.3,Positive,Low,5,Partially Approved,Indirect,Medium,No Urgent Business Need,Low,Proposal Sent,Compliance-driven Requirements,No Risk Identified,No,91.7,Ready,Yes,55,53.18,MEDIUM,"Nurture - resolve open objections, confirm budget.",1.82,-1.8200000000000003
